title,artist
I Will Always Be Yours,Ben Rector
Going Together,Dan Bremnes
Known,Tauren Wells
Easy,Sarah Reeves
Till I Found You,Phil Wickham
Letters,LaPeer
Pioneers,for KING & COUNTRY
If Only,Million Miles
Safe,Antoine Bradford
Dancing In The Minefields,Andrew Peterson
To Love (feat. Sean C. Johnson),Shope
God Gave Me You,Dave Barnes
Needed You,Mylen
Dear No One,Tori Kelly
Commitment,Sanctus Real
What A Mystery,Josh Wilson
Endlessly,Green River Ordinance
It's Our Time,The Light the Heat
Forever Like That,Ben Rector
I Love You,Josh and Amberley Klinkenberg
Lemonade,Chris Rice
Bless The Broken Road,Selah
Feel The Waters,Sarah Reeves
Everything,Lifehouse
Girl of My Dreams,Brandon Heath
Pretty Beautiful,Danny Gokey
Kiss Me,Sixpence None The Richer
Don't Deserve You,Plumb
We Will Dance,Steven Curtis Chapman
Beautiful Soul,Boyce Avenue
Meant to Be,JJ Heller
Midwest Magic,John Tibbs
All Of Me,Matt Hammitt
Big Ole Love,Dave Barnes
With Every Act Of Love,Jason Gray
You and I,Ingrid Michaelson
Thank God I Got Her,Jonny Diaz
Your Love Is Strong,Jon Foreman
Let Me Love You,Josh Wilson
Unfailing Love,Chris Tomlin
Loving You Is Easy,Chris August
Cinderella,Steven Curtis Chapman
Your Love,Shane & Shane
Angel,Casting Crowns
Priceless,for KING & COUNTRY
Praying For You,Mandisa
Only One,NF
The Marriage Prayer,John Waller
Together,Steven Curtis Chapman
Better Man,Jimmy Needham
I Feel the Love Between Us,Sara Groves
You're Beautiful,Phil Wickham
The Day Before You - Acoustic,Matthew West
I'm in Love With You,Joy Williams
